Issue Title,Issue Description,Pull Number,Pull Description
[AMQ-7076] Does not define spring-legacy repository by default in Act…,"…iveMQ Karaf features repo, and let the user add it",320,"…iveMQ Karaf features repo, and let the user add it"
[AMQ-7076] Does not define spring-legacy repository by default in Act…,"…iveMQ Karaf features repo, and let the user add it",319,"…iveMQ Karaf features repo, and let the user add it"
AMQ-7107 - Make QueueBrowsingTest and UsageBlockedDispatchTest succee…,…d with ConcurrentStoreAndDispachQueues=false,318,…d with ConcurrentStoreAndDispachQueues=false
AMQ-7082 We should make sure that pages that is being recovered canno…,…t be reused,317,…t be reused
AMQ-7082 - Make sure that the recovery will only mark pages as free i…,…f they were created in a previous execution,316,…f they were created in a previous execution
AMQ-7091 - O(n) Memory consumption when broker has inactive durable s…,…ubscribes causing OOM,315,…ubscribes causing OOM
Fix missing trace argument,"LGTM.com found this mismatch between format and arguments.

Lets also make sure the array is printable.
Source: https://lgtm.com/projects/g/apache/activemq/alerts/?mode=list",314,"LGTM.com found this mismatch between format and arguments.

Lets also make sure the array is printable.
Source: https://lgtm.com/projects/g/apache/activemq/alerts/?mode=list"
AMQ-7080 - Keep track of free pages - Update db.free file during chec…,…kpoints,313,…kpoints
[AMQ-7068] Advisory messages are empty when received with a AMQP subscription,"This pull request does not tackle the whole problem, but part of it.
Maps `ConnectionInfo` and parts of `RemoveInfo` advisory messages for usage with AMQP.
",312,"This pull request does not tackle the whole problem, but part of it.
Maps `ConnectionInfo` and parts of `RemoveInfo` advisory messages for usage with AMQP.
"
[AMQ-6780] Add PostgreSQL version JDBC driver name in jdbc store services,,311,
[AMQ-7076] Fix and update features to fully support Karaf 4.2.x,,310,
[AMQ-7075] Fix Camel test (userName instead of username),,309,
[AMQ-7072] moving to JSON-B API instead of jackson,"Goal is to let users switch the impl on need + using johnzon as default
Issue was identified on TomEE where jackson is not desired in the distribution cause there is already johnzon and some 
",308,"Goal is to let users switch the impl on need + using johnzon as default
Issue was identified on TomEE where jackson is not desired in the distribution cause there is already johnzon and some 
"
[AMQ-7063] Be able to configure ActiveMQ http transport connector by providing a jetty.xml,,307,
AMQ-7070 - Priority is not being respected when the cursor cache flips,"Messages are being dispatched with wrong priority when the cache is flipped.
All messages that could get cached in the cursor are dispatched before even though massages with higher priority is in the cache.",306,"Messages are being dispatched with wrong priority when the cache is flipped.
All messages that could get cached in the cursor are dispatched before even though massages with higher priority is in the cache."
AMQ-7069 HTTP client don't handle XStream deserialization exception,,305,
Add missing log param,"Found two places, where either a placeholder or a parameter was missing.",304,"Found two places, where either a placeholder or a parameter was missing."
Use varargs for log parameters instead of `new Object[]`,"Some log statements where called with a combination of `new Object[] {...}` and
an exception. That lead to a misinterpretation of those parameters. The first
object array is considered to be the first argument and the exception the second
parameter of the format string.
It should have been interpreted as the members of the object array as the parameters
for the format string and the exception as the exception itself.

So for example:

```
  LOG.info(""User {} has done {}"", new Object[] {""A"", ""something""}, e);
```

would log something like:

```
  User [A, something] has done java.lang.RuntimeException: OOps
```",303,"Some log statements where called with a combination of `new Object[] {...}` and
an exception. That lead to a misinterpretation of those parameters. The first
object array is considered to be the first argument and the exception the second
parameter of the format string.
It should have been interpreted as the members of the object array as the parameters
for the format string and the exception as the exception itself.

So for example:

```
  LOG.info(""User {} has done {}"", new Object[] {""A"", ""something""}, e);
```

would log something like:

```
  User [A, something] has done java.lang.RuntimeException: OOps
```"
[AMQ-7067] KahaDB Recovery can experience a dangling transaction when…,"[AMQ-7067] KahaDB Recovery can experience a dangling transaction when prepare and commit occur on different pagefiles.

Test cases added for Commit and Rollback on XA and Non-XA transactions.

Executed kahadb-store tests, activemq-unit-tests, and ran full build.",302,"[AMQ-7067] KahaDB Recovery can experience a dangling transaction when prepare and commit occur on different pagefiles.

Test cases added for Commit and Rollback on XA and Non-XA transactions.

Executed kahadb-store tests, activemq-unit-tests, and ran full build."
AMQ-7056 - Fix AMQ3625Test and JaasNetworkTest Tests,"Those tests were faling due:

Caused by: javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No name matching {HOST} found
        at sun.security.ssl.Alerts.getSSLException(Alerts.java:192)
        at sun.security.ssl.SSLSocketImpl.fatal(SSLSocketImpl.java:1959)
        at sun.security.ssl.Handshaker.fatalSE(Handshaker.java:302)
        at sun.security.ssl.Handshaker.fatalSE(Handshaker.java:296)",301,"Those tests were faling due:

Caused by: javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No name matching {HOST} found
        at sun.security.ssl.Alerts.getSSLException(Alerts.java:192)
        at sun.security.ssl.SSLSocketImpl.fatal(SSLSocketImpl.java:1959)
        at sun.security.ssl.Handshaker.fatalSE(Handshaker.java:302)
        at sun.security.ssl.Handshaker.fatalSE(Handshaker.java:296)"
AMQ-7055 - Optimization on SequenceSet to prevent iterating through t…,"When the index file has a huge number of free pages and the broker is starting up (loading the index) we end up in a O(n2) loop.

This was causing the broker to use 100% cpu and not being able to start up even after a long time (as i remember we had around 3 millions free page in this case)

https://github.com/apache/activemq/blob/master/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/disk/page/PageFile.java#L428

https://github.com/apache/activemq/blob/master/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/disk/util/SequenceSet.java#L118

I noticed that almost all the free pages was being added to the end of the sequenceSet... So for any free page the broker had to necessity iterate through  all the Set (and after doing that for nothing add . the value to the tail).

With this small change, the broker started up in less than 5 minutes.",300,"When the index file has a huge number of free pages and the broker is starting up (loading the index) we end up in a O(n2) loop.

This was causing the broker to use 100% cpu and not being able to start up even after a long time (as i remember we had around 3 millions free page in this case)

https://github.com/apache/activemq/blob/master/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/disk/page/PageFile.java#L428

https://github.com/apache/activemq/blob/master/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/disk/util/SequenceSet.java#L118

I noticed that almost all the free pages was being added to the end of the sequenceSet... So for any free page the broker had to necessity iterate through  all the Set (and after doing that for nothing add . the value to the tail).

With this small change, the broker started up in less than 5 minutes."
[AMQ-7053] Update Jetty to version 9.2.26.v20180806,,299,
AMQ-7052 - Fix JdbcXARecoveryBrokerTest and mLevelDBXARecoveryBrokerTest tests,"Fix the following tests:

JdbcXARecoveryBrokerTest>CombinationTestSupport.runBare:107->XARecoveryBrokerTest.testPreparedTransactionRecoveredPurgeRollbackOnRestart:332 expected:<0> but was:<4>

JdbcXARecoveryBrokerTest>CombinationTestSupport.runBare:107->XARecoveryBrokerTest.testPreparedTransactionRecoveredPurgeCommitOnRestart:391 null

mKahaDBXARecoveryBrokerTest>CombinationTestSupport.runBare:107->XARecoveryBrokerTest.testPreparedTransactionRecoveredPurgeRollbackOnRestart:332 expected:<0> but was:<4>

mKahaDBXARecoveryBrokerTest>CombinationTestSupport.runBare:107->XARecoveryBrokerTest.testPreparedTransactionRecoveredPurgeCommitOnRestart:391 null

mLevelDBXARecoveryBrokerTest>CombinationTestSupport.runBare:107->XARecoveryBrokerTest.testPreparedTransactionRecoveredPurgeRollbackOnRestart:332 expected:<0> but was:<4>

Those tests are failing because this feature (purge transactions after reboot) was only implemented on the KahaDBPersistenceAdapter.

Change that introduced this feature: https://github.com/apache/activemq/commit/ce7498c971b99e2515f07aab36418a1a0f19c03e

The tests are failing because the class XARecoveryBrokerTest is used to test multiples adapters that are not implementing the same feature.

Steps to reproduce:

> git checkout https://github.com/apache/activemq/tree/activemq-5.15.x
> cd activemq-unit-tests
> mvn clean install -Dtest=JdbcXARecoveryBrokerTest",298,"Fix the following tests:

JdbcXARecoveryBrokerTest>CombinationTestSupport.runBare:107->XARecoveryBrokerTest.testPreparedTransactionRecoveredPurgeRollbackOnRestart:332 expected:<0> but was:<4>

JdbcXARecoveryBrokerTest>CombinationTestSupport.runBare:107->XARecoveryBrokerTest.testPreparedTransactionRecoveredPurgeCommitOnRestart:391 null

mKahaDBXARecoveryBrokerTest>CombinationTestSupport.runBare:107->XARecoveryBrokerTest.testPreparedTransactionRecoveredPurgeRollbackOnRestart:332 expected:<0> but was:<4>

mKahaDBXARecoveryBrokerTest>CombinationTestSupport.runBare:107->XARecoveryBrokerTest.testPreparedTransactionRecoveredPurgeCommitOnRestart:391 null

mLevelDBXARecoveryBrokerTest>CombinationTestSupport.runBare:107->XARecoveryBrokerTest.testPreparedTransactionRecoveredPurgeRollbackOnRestart:332 expected:<0> but was:<4>

Those tests are failing because this feature (purge transactions after reboot) was only implemented on the KahaDBPersistenceAdapter.

Change that introduced this feature: https://github.com/apache/activemq/commit/ce7498c971b99e2515f07aab36418a1a0f19c03e

The tests are failing because the class XARecoveryBrokerTest is used to test multiples adapters that are not implementing the same feature.

Steps to reproduce:

> git checkout https://github.com/apache/activemq/tree/activemq-5.15.x
> cd activemq-unit-tests
> mvn clean install -Dtest=JdbcXARecoveryBrokerTest"
AMQ-7050: Allow alternate persistence mechanism with SubQueueSelectorCacheBrokerPlugin,"More details in [JIRA](https://issues.apache.org/jira/browse/AMQ-7050). Had a go at this by pulling out an interface for cache interactions and including default, File-based implementation that behaves just as before.

This flexibility is designed to allow future, alternative implementations such as a JDBC-based cache (e.g. for folks using JDBC persistence).

Thanks for review!",297,"More details in [JIRA](https://issues.apache.org/jira/browse/AMQ-7050). Had a go at this by pulling out an interface for cache interactions and including default, File-based implementation that behaves just as before.

This flexibility is designed to allow future, alternative implementations such as a JDBC-based cache (e.g. for folks using JDBC persistence).

Thanks for review!"
[AMQ-7032] Update Shiro to 1.2.6,,296,
AMQ-7028 - Disable concurrentStoreAndDispatchQueues for slow consumers,"Using high latency FS (as NFS) to store kahadb files and setting concurrentStoreAndDispatchQueues=true may cause poor performance for slow consumer. This happens because using this option makes activemq write the produced messages one by one to the underlying file system (this is implemented by using a SingleThread ExecutorService).

Lets say that for each write to the FS takes 10ms and the queue has slow consumers. In this case, does not matter the number of concurrent messages the producers try to send to the queue, the maximum performance we can achieve is 100 TPS. Tuning this flag off, we can see a really better performance for sending messages in parallel as those messages can be batched to the FS in a single write (the performance increases with the number of concurrent messages being sent in parallel).

Looking at Activemq code we found that there is an flag used on levelDb to detect if the queue has fast or slow consumers, and decide if it will use concurrentStoreAndDispach or not.

https://issues.apache.org/jira/browse/AMQ-3750

but this flag is not used on the KahaDb implementation.

We made a code change to receive the flag in the KahaDbStore and use it to decide if the message will be stored async or not.

We think that there is no reason to try to ""StoreAndDispatch"" if the destination has slow consumers. This only brings overhead and in case of high latency FS, really poor performance when the queue has slow consumer.

For fast consumers, this change will have no effect giving the better of the 2 options.",295,"Using high latency FS (as NFS) to store kahadb files and setting concurrentStoreAndDispatchQueues=true may cause poor performance for slow consumer. This happens because using this option makes activemq write the produced messages one by one to the underlying file system (this is implemented by using a SingleThread ExecutorService).

Lets say that for each write to the FS takes 10ms and the queue has slow consumers. In this case, does not matter the number of concurrent messages the producers try to send to the queue, the maximum performance we can achieve is 100 TPS. Tuning this flag off, we can see a really better performance for sending messages in parallel as those messages can be batched to the FS in a single write (the performance increases with the number of concurrent messages being sent in parallel).

Looking at Activemq code we found that there is an flag used on levelDb to detect if the queue has fast or slow consumers, and decide if it will use concurrentStoreAndDispach or not.

https://issues.apache.org/jira/browse/AMQ-3750

but this flag is not used on the KahaDb implementation.

We made a code change to receive the flag in the KahaDbStore and use it to decide if the message will be stored async or not.

We think that there is no reason to try to ""StoreAndDispatch"" if the destination has slow consumers. This only brings overhead and in case of high latency FS, really poor performance when the queue has slow consumer.

For fast consumers, this change will have no effect giving the better of the 2 options."
AMQ-7023,"Add build profile to execute owasp dependency check plugin on ActiveMQ build.
",294,"Add build profile to execute owasp dependency check plugin on ActiveMQ build.
"
AMQ-6996 Update Xerces to 2.12.0,,293,
[AMQ-6996] Update AMQ to use Xerces 2.12.0,,292,
[AMQ-6996] Update AMQ to use Xerces 2.12.0,Update targeted for master (5.16.x).,291,Update targeted for master (5.16.x).
AMQ-7015,Added a purgeRecoveredXATransactions property on the KahaDB adaptor to purge prepared XA messages on recovery,290,Added a purgeRecoveredXATransactions property on the KahaDB adaptor to purge prepared XA messages on recovery
AMQ-7014 Separate activemq-karaf feature from activemq feature.,,289,
Amq7013,,288,
[AMQ-7011] Override dispatch to always set dispatchAsync true,AMQ-7011 Override dispatch to always set dispatchAsync true.,287,AMQ-7011 Override dispatch to always set dispatchAsync true.
[WFLY-6597] Change org.apache.activemq.jms.pool.XaPooledConnectionFac…,"…tory#tmFromJndi parameter to Boolean for JCA validation

Without this change deploying activemq-rar-5.13.3.rar on WildFly leads to ""Invalid archive"" warning as described in WFLY-6597.",286,"…tory#tmFromJndi parameter to Boolean for JCA validation

Without this change deploying activemq-rar-5.13.3.rar on WildFly leads to ""Invalid archive"" warning as described in WFLY-6597."
[AMQ-7005] Thin client OSGI bundle,,285,
AMQ-6974 Avoid overflow errors with timestamps,"Some comparisons with timestamp values are not safe. This comparisons can trigger errors that were found in other Apache projects, e.g. KAFKA-4290. 
I changed those comparisons according to what the Java documentation recommends to help preventing such errors.",284,"Some comparisons with timestamp values are not safe. This comparisons can trigger errors that were found in other Apache projects, e.g. KAFKA-4290. 
I changed those comparisons according to what the Java documentation recommends to help preventing such errors."
AMQ-6963 Fix calling the toString() method in case of different log level.,"Avoid calling toString() method in case of different log level, because toString() could create additional objects or could read volatile variable. For example:
org.apache.activemq.ActiveMQConnection#toString (AtomicBoolean)
",283,"Avoid calling toString() method in case of different log level, because toString() could create additional objects or could read volatile variable. For example:
org.apache.activemq.ActiveMQConnection#toString (AtomicBoolean)
"
AMQ-6959,"We should not create a Throwable object (which will call fillInStackTrace() method) in case of non TRACE logging. For example if we have an INFO log level, message will no be created and logged, but a Throwable object will be created.",282,"We should not create a Throwable object (which will call fillInStackTrace() method) in case of non TRACE logging. For example if we have an INFO log level, message will no be created and logged, but a Throwable object will be created."
AMQ-6930 Expose an environment variable to allow redirect stdout/stderr to a file,"This change does not modify the default behavior, the default behavior is still to pipe stdout/stderr to /dev/null. User can specify a file using an environment variable called `ACTIVEMQ_OUT` to  redirect stdout/stderr to the file. 

This change also added and fixed some tests in `assembly/src/test/scripts/init-script-testsuite`.",281,"This change does not modify the default behavior, the default behavior is still to pipe stdout/stderr to /dev/null. User can specify a file using an environment variable called `ACTIVEMQ_OUT` to  redirect stdout/stderr to the file. 

This change also added and fixed some tests in `assembly/src/test/scripts/init-script-testsuite`."
AMQ-6908 Use WebClient in QueueBrowseQuery,"`org.apache.activemq.web.controller.SendMessage` uses `org.apache.activemq.web.WebClient`, which can be configured to use console login credential instead of system user credential (by setting the connection factory username and password to `null`). This allows seamless per-user based authorization for operations through the web console. 

`org.apache.activemq.web.QueueBrowseQuery` was not using the `org.apache.activemq.web.WebClient` so it was impossible to setup authorization on per-user basis for browsing messages of a queue through web console. 

This change migrates `org.apache.activemq.web.QueueBrowseQuery` to use `org.apache.activemq.web.WebClient`.
",280,"`org.apache.activemq.web.controller.SendMessage` uses `org.apache.activemq.web.WebClient`, which can be configured to use console login credential instead of system user credential (by setting the connection factory username and password to `null`). This allows seamless per-user based authorization for operations through the web console. 

`org.apache.activemq.web.QueueBrowseQuery` was not using the `org.apache.activemq.web.WebClient` so it was impossible to setup authorization on per-user basis for browsing messages of a queue through web console. 

This change migrates `org.apache.activemq.web.QueueBrowseQuery` to use `org.apache.activemq.web.WebClient`.
"
AMQ-6781 - The ActiveMQ Web Console doesn’t support a plus (+) sign i…,…n the ClientID. Tried escape query parameters using JSP syntax.,279,…n the ClientID. Tried escape query parameters using JSP syntax.
AMQ-6905 : Upgraded ActivationConfigProperty as per API Documentation,,278,
[AMQ-6556] Support system property proxy settings for HTTP(S) client,,277,
AMQ-6904 add overrides for ms sql,,276,
BrokerService: fix typo in field and parameter name,,275,
AMQ-6894: limit poison exception message to 1024,AMQ-6894: Limit poison exception message to 1024 to avoid IOException be encoding,274,AMQ-6894: Limit poison exception message to 1024 to avoid IOException be encoding
[AMQ-6892]: Test failing unexpectedly: CamelVMTransportRoutingTest.testSendReceiveWithCamelRouteIntercepting,"When I run the test CamelVMTransportRoutingTest.testSendReceiveWithCamelRouteIntercepting, it passes, but when I run all of the tests in activemq-camel, it fails. I am running this in Intellij.

It appears the problem is unclosed connections in some of the other tests.",273,"When I run the test CamelVMTransportRoutingTest.testSendReceiveWithCamelRouteIntercepting, it passes, but when I run all of the tests in activemq-camel, it fails. I am running this in Intellij.

It appears the problem is unclosed connections in some of the other tests."
replicated LevelDB fix and debugging output,"I know LevelDB is now deprecated, and this may not get merged because of that. I certainly don't want to become its maintainer. I had an unhealthy cluster, and did not want to try and migrate it while in that state. This is just a small change to get it healthy again after a slave encountered this error:

Unexpected session error: java.net.ProtocolException: Maximum protocol buffer length exeeded

In my case I believe this is due to having too many LevelDB log files to replicate (a separate LevelDB bug, which I intend to investigate now that this cluster is healthy again).

2 commits in this PR:

1) debugging output to track that down and make it more ... debuggable.

2) a 2-character change to increase a buffer size by 4x, to ""fix"" the problem.",272,"I know LevelDB is now deprecated, and this may not get merged because of that. I certainly don't want to become its maintainer. I had an unhealthy cluster, and did not want to try and migrate it while in that state. This is just a small change to get it healthy again after a slave encountered this error:

Unexpected session error: java.net.ProtocolException: Maximum protocol buffer length exeeded

In my case I believe this is due to having too many LevelDB log files to replicate (a separate LevelDB bug, which I intend to investigate now that this cluster is healthy again).

2 commits in this PR:

1) debugging output to track that down and make it more ... debuggable.

2) a 2-character change to increase a buffer size by 4x, to ""fix"" the problem."
Activemq 5.9,,271,
Update README.md,only test,270,only test
AMQ-6781: The ActiveMQ Web Console doesn’t support a plus (+) sign in the ClientID,The ActiveMQ Web Console doesn’t support a plus (+) sign in the ClientID,269,The ActiveMQ Web Console doesn’t support a plus (+) sign in the ClientID
AMQ-6327 - Remove System.out.println,Accidently added System.out.println in https://github.com/apache/activemq/pull/267,268,Accidently added System.out.println in https://github.com/apache/activemq/pull/267
AMQ-6327 - getNextScheduledTime() returns incorrect time when working…,… with day of month,267,… with day of month
AMQ-5669 Update Karaf feature files to add required namespace (minimal,available version),266,available version)
AMQ-5669 Update Karaf feature files to add required namespace (minimal,available version),265,available version)
AMQ-6861 Allow customisation of network bridge creation logic.,,264,
Race condition makes messages queued in the session be delivered before messages queued in consumers. #256,Create new PR to trigger CI.,263,Create new PR to trigger CI.
AMQ-6828: Improvement to python AMQP example.,"As per feedback from https://issues.apache.org/jira/browse/AMQ-6828.

All feedback appreciated.",262,"As per feedback from https://issues.apache.org/jira/browse/AMQ-6828.

All feedback appreciated."
"AMQ-3189: Postgresql with spring embedded activeMQ has ""table alread created"" exception","Please review PR for AMQ-3189: Postgresql with spring embedded activeMQ has ""table already created"" exception


When using any JDBC adapter with createTablesOnStartup=""true"" a check is performed, in the method ""messageTableAlreadyExists"" to see if the tables already exist before attempting to create them. But in case of PostgresqlJDBCAdapter, the check always returns false even if they exist because there is an case mismatch. (Tables are created in postgres in lower case by default) The result of this is that the logs are polluted with a warning message (including SQLException stack trace), every time a broker starts. ",261,"Please review PR for AMQ-3189: Postgresql with spring embedded activeMQ has ""table already created"" exception


When using any JDBC adapter with createTablesOnStartup=""true"" a check is performed, in the method ""messageTableAlreadyExists"" to see if the tables already exist before attempting to create them. But in case of PostgresqlJDBCAdapter, the check always returns false even if they exist because there is an case mismatch. (Tables are created in postgres in lower case by default) The result of this is that the logs are polluted with a warning message (including SQLException stack trace), every time a broker starts. "
AMQ-6826,"This fix adds the table-prefix to the activemq_acks_pkey. This is because for postgresql if we use table-prefix statement than Indexes are also created using table-prefix. This table-prefix is empty-string if not set so shouldn't affect normal scenario.

Output from postegre db.
activemq=# \d local_activemq_acks
             Table ""public.local_activemq_acks""
    Column     |          Type          |     Modifiers      
---------------+------------------------+--------------------
 container     | character varying(250) | not null
 sub_dest      | character varying(250) | 
 client_id     | character varying(250) | not null
 sub_name      | character varying(250) | not null
 selector      | character varying(250) | 
 last_acked_id | bigint                 | 
 priority      | bigint                 | not null default 5
 xid           | character varying(250) | 
Indexes:
    ""local_activemq_acks_pkey"" PRIMARY KEY, btree (container, client_id, sub_name)
    ""local_activemq_acks_xidx"" btree (xid)
",260,"This fix adds the table-prefix to the activemq_acks_pkey. This is because for postgresql if we use table-prefix statement than Indexes are also created using table-prefix. This table-prefix is empty-string if not set so shouldn't affect normal scenario.

Output from postegre db.
activemq=# \d local_activemq_acks
             Table ""public.local_activemq_acks""
    Column     |          Type          |     Modifiers      
---------------+------------------------+--------------------
 container     | character varying(250) | not null
 sub_dest      | character varying(250) | 
 client_id     | character varying(250) | not null
 sub_name      | character varying(250) | not null
 selector      | character varying(250) | 
 last_acked_id | bigint                 | 
 priority      | bigint                 | not null default 5
 xid           | character varying(250) | 
Indexes:
    ""local_activemq_acks_pkey"" PRIMARY KEY, btree (container, client_id, sub_name)
    ""local_activemq_acks_xidx"" btree (xid)
"
AMQ-6808: preserve destination for browsed scheduled messages,Save original destination as JMS property before overwriting it when browsing scheduled messages.,259,Save original destination as JMS property before overwriting it when browsing scheduled messages.
AMQ-6805: Add new implementation based on OSGi Declarative Services t…,…o make OSGi services available for broker configuration,258,…o make OSGi services available for broker configuration
Misc. fixes,"While testing my [SLF4J Helper](http://plugins.netbeans.org/plugin/72557/) plugin for NetBeans IDE, I found some fixes and minor improvements that can be made.",257,"While testing my [SLF4J Helper](http://plugins.netbeans.org/plugin/72557/) plugin for NetBeans IDE, I found some fixes and minor improvements that can be made."
AMQ-6775: Race condition makes messages queued in the session be delivered before messages queued in consumers.,,256,
Added new ActiveMQ Logo files,,255,
AMQ-6706 Allow for hooks before broker stop occurs,"When Camel is run embedded within ActiveMQ it's shutdown is called at the point the broker is already stopped, this can lead to data loss as there could be exchanges that have not ended.

This adds the ability to specify preStopHook(s) that can be invoked during ActiveMQ shutdown but before the broker is shutdown.

With this Camel can gracefully shutdown while the broker is still started.",254,"When Camel is run embedded within ActiveMQ it's shutdown is called at the point the broker is already stopped, this can lead to data loss as there could be exchanges that have not ended.

This adds the ability to specify preStopHook(s) that can be invoked during ActiveMQ shutdown but before the broker is shutdown.

With this Camel can gracefully shutdown while the broker is still started."
Multiple ActiveMQ Logo Submission,"Hi Community,

Milap here an engineer turned a designer. I have designed few logo which you can here. I have referred Apache foundation style guide. Would like to know your feedback.

Thanks,
Milap :)




![1](https://user-images.githubusercontent.com/5056619/27222332-756cc460-52a9-11e7-84ca-b9067a9e4526.png)
![2](https://user-images.githubusercontent.com/5056619/27222333-759588d2-52a9-11e7-94df-ae0fd6875c43.png)

![4](https://user-images.githubusercontent.com/5056619/27222334-75cd2c10-52a9-11e7-95eb-41cac706d22d.png)


![3](https://user-images.githubusercontent.com/5056619/27222523-2ccf33ea-52aa-11e7-94d3-85143bb238e2.png)
",253,"Hi Community,

Milap here an engineer turned a designer. I have designed few logo which you can here. I have referred Apache foundation style guide. Would like to know your feedback.

Thanks,
Milap :)




![1](https://user-images.githubusercontent.com/5056619/27222332-756cc460-52a9-11e7-84ca-b9067a9e4526.png)
![2](https://user-images.githubusercontent.com/5056619/27222333-759588d2-52a9-11e7-94df-ae0fd6875c43.png)

![4](https://user-images.githubusercontent.com/5056619/27222334-75cd2c10-52a9-11e7-95eb-41cac706d22d.png)


![3](https://user-images.githubusercontent.com/5056619/27222523-2ccf33ea-52aa-11e7-94d3-85143bb238e2.png)
"
ActiveMQ Logo,"Hi Community,

Milap here, Product designer from India. I have designed few options for ActiveMQ logo. I have referred Apache Foundation style guide. Please let me know your feedback. :) 

![1](https://user-images.githubusercontent.com/5056619/27179887-46e506f4-51ee-11e7-9506-7ff21aa39351.png)
![2](https://user-images.githubusercontent.com/5056619/27179888-46e522b0-51ee-11e7-810c-e654c938cc96.png)
![3](https://user-images.githubusercontent.com/5056619/27179889-46e568a6-51ee-11e7-8eac-a820f67b25c9.png)
![4](https://user-images.githubusercontent.com/5056619/27179886-46e49ec6-51ee-11e7-8554-e8e7568d2e0e.png)
",252,"Hi Community,

Milap here, Product designer from India. I have designed few options for ActiveMQ logo. I have referred Apache Foundation style guide. Please let me know your feedback. :) 

![1](https://user-images.githubusercontent.com/5056619/27179887-46e506f4-51ee-11e7-9506-7ff21aa39351.png)
![2](https://user-images.githubusercontent.com/5056619/27179888-46e522b0-51ee-11e7-810c-e654c938cc96.png)
![3](https://user-images.githubusercontent.com/5056619/27179889-46e568a6-51ee-11e7-8eac-a820f67b25c9.png)
![4](https://user-images.githubusercontent.com/5056619/27179886-46e49ec6-51ee-11e7-8554-e8e7568d2e0e.png)
"
Jason Brock multiple logo submissions,,251,
Fix STOMP header escaping when using WebSocket.,"Use wire format class to marshal frames, because method
StompFrame.format() does not escape disallowed characters in STOMP
headers and can cause invalid STOMP messages to be sent, as newline and
colon characters in headers are sent as is.",250,"Use wire format class to marshal frames, because method
StompFrame.format() does not escape disallowed characters in STOMP
headers and can cause invalid STOMP messages to be sent, as newline and
colon characters in headers are sent as is."
AMQ-6689 Logo Hex Colourful,,249,
AMQ-6689: Active Arrow A,,248,
AMQ-6689: A Arrow,A Arrow,247,A Arrow
AMQ-6689: ActiveArrow,,246,
AMQ-6689: New logo for ActiveMQ,Here's my submission.,245,Here's my submission.
AMQ-6689: Logo Maroon - Submission,,244,
AMQ-6689: Logo Maroon Lower Text - Submission,,243,
AMQ-6689: Logo Colourful Modern - Submission,,242,
Logo Maroon Lower Text - Submission,,241,
Logo Colourful Modern - Submission,,240,
Logo Maroon - Submission,,239,
add ClientIdFilterDispatchPolicy and testcase,"ClientIdFilterDispatchPolicy dispatches messages in a topic to a given client. Then the message with a ""PTP_CLIENTID"" property, can be received by a mqtt client with the same clientId.

Many developer have been insterested to use this feature:
http://blog.csdn.net/kimmking/article/details/17449019",238,"ClientIdFilterDispatchPolicy dispatches messages in a topic to a given client. Then the message with a ""PTP_CLIENTID"" property, can be received by a mqtt client with the same clientId.

Many developer have been insterested to use this feature:
http://blog.csdn.net/kimmking/article/details/17449019"
Remove unnecessary boxing / unboxing,,237,
Help ! My activemq uses cpu 100%,"even I kills activemq process, cpu is still used 100%
I used top command to found activemq root bin/works  was running , used cpu 100%
I killed its process , but it started agin , still cpu 100%
How to resolve it ? My activemq is hacked in ?

",236,"even I kills activemq process, cpu is still used 100%
I used top command to found activemq root bin/works  was running , used cpu 100%
I killed its process , but it started agin , still cpu 100%
How to resolve it ? My activemq is hacked in ?

"
AMQ-6556 Support system property proxy settings for HTTP(S) client,,235,
Activemq 5.14.x,,234,
AMQ-6556 Support system property proxy settings for HTTP(S) client,,233,
set name for primary key on create table,,232,
Add new implementations of the writeUTF8 and readUTF8 methods ,that are based on Apache Harmony code.  This also avoid some code duplication that was occurring.,231,that are based on Apache Harmony code.  This also avoid some code duplication that was occurring.
Unit test illustrating AMQ-6636.,Hope this is the right way to contribute.,230,Hope this is the right way to contribute.
Introduce method to add a single trusted package,,229,
"[AMQ-6601] AMQ with master and slave broker, shutting down slave causes a dead-lock","This PR addresses the issue https://issues.apache.org/jira/browse/AMQ-6601.

The proposed solution is to start the broker asynchronously, but only wait for its starting up if it is the master (i.e. non-slave).

Closes / fixes issue #6601.

Credit goes to @lichtin for coming up with the solution.",228,"This PR addresses the issue https://issues.apache.org/jira/browse/AMQ-6601.

The proposed solution is to start the broker asynchronously, but only wait for its starting up if it is the master (i.e. non-slave).

Closes / fixes issue #6601.

Credit goes to @lichtin for coming up with the solution."
SSL Connection leaks,There are possibilities to create a denial of service attack just by opening TCP connection to a SSL port and keep it open. ,227,There are possibilities to create a denial of service attack just by opening TCP connection to a SSL port and keep it open. 
